categorical,mean_abs_perc_error,median_absolute_error,model,model_adj_r2,model_r2,pred_col
False,2.1883430065842675,1655609.501297703,pipeline_L1,-0.018406154548757714,0.0019619685422175293,
False,2.1780517441844136,1513830.0930980798,pipeline_L10,-0.02212112813267808,-0.0016787055700244746,
False,2.234751357556605,1524652.604297713,pipeline_L11,-0.02515290041738716,-0.0046498424090393176,
False,2.1755675318418217,1532161.9492698275,pipeline_L12,-0.026229527465008395,-0.005704936915708281,
False,2.1662896945317875,1519868.3295897078,pipeline_L2,-0.02706619984804548,-0.006524875851084522,
False,1.9631837260114124,1446872.820221838,pipeline_L3,-0.022766300802559147,-0.002310974786507991,
False,2.127942731397356,1434374.0137730297,pipeline_L4,-0.027126582711542113,-0.006584051057311191,
False,2.1455444100845056,1506363.5416184734,pipeline_L6,-0.02315570294858693,-0.0026925888896152106,
False,2.28771069724054,1596273.2747356347,pipeline_L7,-0.021745953125211992,-0.0013110340627078276,
False,2.24695971631604,1549341.6566674642,pipeline_L8,-0.04438074638807632,-0.023493131460314842,
False,1.9528896534613969,1135267.7916586623,pipeline_L9,0.139026727823916,0.15624619326743772,
True,2.1983138459602736,1526513.3042631876,num_phases,-0.029313779398818296,-0.008727503810841863,num_phases_1
True,2.1983138459602736,1526513.3042631876,num_phases,-0.029313779398818296,-0.008727503810841863,num_phases_2
True,2.1983138459602736,1526513.3042631876,num_phases,-0.029313779398818296,-0.008727503810841863,num_phases_3
False,2.3431158611785015,1398998.2685597707,process_duration,-0.0370213533962771,-0.01628092632835143,
False,2.1714481682166835,1489363.962519215,supply_flow_min,-0.025264993996177987,-0.0047596941162544315,
False,1.924230936984547,1177607.4415905045,supply_flow_max,-0.015943497058206413,0.004375372882957751,
False,1.6390085571382575,892332.5393677782,supply_flow_mean,-0.005141143293616146,0.014961679572256248,
False,1.910872095590846,1183281.2235727105,supply_flow_std,-0.0015497276959923756,0.018481266857927392,
False,1.588375278362185,773175.4603702561,supply_flow_last_five_mean,0.016983499042478867,0.03664382906162933,
False,2.2052141916089436,1502941.1246802201,supply_pressure_min,-0.024970042007848248,-0.004470641167691358,
False,2.0889937804240546,1430387.822774664,supply_pressure_max,-0.013471595921110024,0.006797835997312207,
False,2.0392168644448727,1495326.1998365046,supply_pressure_mean,-0.013755982946553225,0.006519136712377915,
False,2.1104875612780454,1430622.8429045193,supply_pressure_std,-0.019441942722280503,0.0009468961321651426,
False,2.1185706071717454,1593809.2668732074,supply_pressure_last_five_mean,-0.019536138027832717,0.0008545847327239287,
False,2.125289809840537,1498174.3217236605,return_temperature_min,-0.021027905670033764,-0.0006073475566330533,
False,2.1816555605654857,1533867.2186285884,return_temperature_max,-0.031402717327356555,-0.010774662980809424,
False,2.176224645932806,1537086.2679016753,return_temperature_mean,-0.026828983371883774,-0.006292403704446059,
False,2.1755648900079527,1534146.482346437,return_temperature_std,-0.030194250252941757,-0.009590365247882815,
False,2.2125317823904127,1565901.1430071923,return_temperature_last_five_mean,-0.02542624949078509,-0.004917724500969278,
False,2.1744326532553173,1530093.5953763179,return_conductivity_min,-0.026549367884022734,-0.006018380526342293,
False,2.0615087505406398,1448625.039960226,return_conductivity_max,-0.02832010822626807,-0.007753706061742749,
False,2.2087319548930884,1606244.8243760779,return_conductivity_mean,-0.03236748650478938,-0.011720136774693524,
False,2.2084680571157818,1587828.2204477836,return_conductivity_std,-0.022073993867333108,-0.0016325139899864283,
False,2.2363946925711526,1614276.1211000415,return_conductivity_last_five_mean,-0.023269000344652735,-0.0028036203377597158,
